Year,TX_Year,Plot,Treatment,Trt,Depth,percC,percN,CtoN,
2007,10,14,Control,CTL,0-10cm,6.43,0.115,55.8,
2007,10,12,Control,CTL,0-10cm,8.72,0.284,30.7,
2007,10,8,Control,CTL,0-10cm,2.97,0.221,13.4,
2007,10,2,Double Litter,DL,0-10cm,4.04,0.189,21.4,
2007,10,17,Double Litter,DL,0-10cm,6.59,0.224,29.4,
2007,10,13,Double Litter,DL,0-10cm,3.62,0.155,23.4,
2007,10,10,Double Wood,DW,0-10cm,5.74,0.246,23.3,
2007,10,16,Double Wood,DW,0-10cm,7.64,0.169,45.3,
2007,10,5,Double Wood,DW,0-10cm,4.77,0.189,25.2,
2007,10,69,No Input,NI,0-10cm,2.95,0.149,19.8,
2007,10,49,No Input,NI,0-10cm,3.03,0.129,23.4,
2007,10,19,No Input,NI,0-10cm,3.78,0.133,28.3,
2007,10,11,No Litter,NL,0-10cm,2.87,0.130,22.0,
2007,10,7,No Litter,NL,0-10cm,2.86,0.148,19.4,
2007,10,3,No Litter,NL,0-10cm,3.50,0.129,27.2,
2007,10,6,No Root,NR,0-10cm,3.47,0.159,21.8,
2007,10,1,No Root,NR,0-10cm,4.15,0.151,27.5,
2007,10,4,No Root,NR,0-10cm,3.56,0.164,21.7,
2012,15,8,Control,CTL,0-10cm,6.21,0.214,29.1,
2012,15,12,Control,CTL,0-10cm,11.03,0.351,31.4,
2012,15,14,Control,CTL,0-10cm,5.07,0.213,23.7,
2012,15,2,Double Litter,DL,0-10cm,4.70,0.182,25.9,
2012,15,13,Double Litter,DL,0-10cm,5.44,0.218,24.9,
2012,15,17,Double Litter,DL,0-10cm,6.13,0.264,23.2,
2012,15,5,Double Wood,DW,0-10cm,4.30,0.179,24.0,
2012,15,10,Double Wood,DW,0-10cm,5.63,0.185,30.5,
2012,15,16,Double Wood,DW,0-10cm,9.85,0.331,29.7,
2012,15,19,No Input,NI,0-10cm,4.58,0.191,23.9,
2012,15,49,No Input,NI,0-10cm,3.63,0.168,21.6,
2012,15,69,No Input,NI,0-10cm,4.93,0.203,24.3,
2012,15,3,No Litter,NL,0-10cm,6.36,0.226,28.1,
2012,15,7,No Litter,NL,0-10cm,4.49,0.222,20.2,
2012,15,11,No Litter,NL,0-10cm,3.88,0.140,27.6,
2012,15,9,No O-A horizons,NOA,0-10cm,1.86,0.058,31.8,
2012,15,15,No O-A horizons,NOA,0-10cm,2.04,0.052,39.0,
2012,15,18,No O-A horizons,NOA,0-10cm,2.41,0.093,26.0,
2012,15,1,No Root,NR,0-10cm,7.57,0.280,27.0,
2012,15,4,No Root,NR,0-10cm,3.59,0.132,27.2,
2012,15,6,No Root,NR,0-10cm,5.94,0.251,23.6,
2012,15,8,Control,CTL,10-20cm,3.89,0.163,23.8,
2012,15,12,Control,CTL,10-20cm,4.28,0.193,22.2,
2012,15,14,Control,CTL,10-20cm,3.58,0.126,28.4,
2012,15,2,Double Litter,DL,10-20cm,4.51,0.182,24.8,
2012,15,13,Double Litter,DL,10-20cm,3.11,0.127,24.6,
2012,15,17,Double Litter,DL,10-20cm,3.08,0.150,20.5,
2012,15,5,Double Wood,DW,10-20cm,2.58,0.087,29.8,
2012,15,10,Double Wood,DW,10-20cm,4.80,0.168,28.6,
2012,15,16,Double Wood,DW,10-20cm,4.98,0.175,28.5,
2012,15,19,No Input,NI,10-20cm,3.40,0.135,25.2,
2012,15,49,No Input,NI,10-20cm,2.30,0.102,22.4,
2012,15,69,No Input,NI,10-20cm,3.42,0.135,25.4,
2012,15,3,No Litter,NL,10-20cm,4.11,0.168,24.4,
2012,15,7,No Litter,NL,10-20cm,2.86,0.132,21.7,
2012,15,11,No Litter,NL,10-20cm,3.41,0.158,21.6,
2012,15,9,No O-A horizons,NOA,10-20cm,1.86,0.070,26.7,
2012,15,15,No O-A horizons,NOA,10-20cm,2.10,0.077,27.4,
2012,15,18,No O-A horizons,NOA,10-20cm,2.39,0.108,22.1,
2012,15,1,No Root,NR,10-20cm,4.23,0.197,21.5,
2012,15,4,No Root,NR,10-20cm,3.46,0.139,24.8,
2012,15,6,No Root,NR,10-20cm,3.32,0.153,21.7,
2017,20,1,No Root,NR,0-10cm,5.77,0.251,23.0,
2017,20,2,Double Litter,DL,0-10cm,3.59,0.175,20.5,
2017,20,3,No Litter,NL,0-10cm,5.73,0.209,27.4,
2017,20,4,No Root,NR,0-10cm,4.04,0.206,19.6,
2017,20,5,Double Wood,DW,0-10cm,3.73,0.160,23.3,
2017,20,6,No Root,NR,0-10cm,5.38,0.223,24.1,
2017,20,7,No Litter,NL,0-10cm,4.12,0.184,22.4,
2017,20,8,Control,CTL,0-10cm,4.84,0.186,26.0,
2017,20,9,No OA,NOA,0-10cm,1.37,0.073,18.8,
2017,20,10,Double Wood,DW,0-10cm,6.85,0.233,29.4,
2017,20,11,No Litter,NL,0-10cm,4.31,0.182,23.7,
2017,20,12,Control,CTL,0-10cm,6.41,0.199,32.2,
2017,20,13,Double Litter,DL,0-10cm,4.31,0.195,22.1,
2017,20,14,Control,CTL,0-10cm,3.66,0.131,27.9,
2017,20,15,No OA,NOA,0-10cm,2.78,0.121,23.0,
2017,20,16,Double Wood,DW,0-10cm,7.95,0.265,30.0,
2017,20,17,Double Litter,DL,0-10cm,6.93,0.275,25.2,
2017,20,18,No OA,NOA,0-10cm,2.68,0.139,19.3,
2017,20,19,No Input,NI,0-10cm,4.74,0.188,25.2,
2017,20,49,No Input,NI,0-10cm,3.72,0.156,23.8,
2017,20,69,No Input,NI,0-10cm,3.97,0.176,22.6,
2017,20,1,No Root,NR,10-20cm,2.83,0.150,18.9,
2017,20,2,Double Litter,DL,10-20cm,3.04,0.160,19.0,
2017,20,3,No Litter,NL,10-20cm,2.56,0.132,19.4,
2017,20,4,No Root,NR,10-20cm,2.57,0.160,16.1,
2017,20,5,Double Wood,DW,10-20cm,2.23,0.122,18.3,
2017,20,6,No Root,NR,10-20cm,2.96,0.170,17.4,
2017,20,7,No Litter,NL,10-20cm,1.87,0.111,16.8,
2017,20,8,Control,CTL,10-20cm,2.01,0.120,16.8,
2017,20,9,No OA,NOA,10-20cm,1.17,0.058,20.2,
2017,20,10,Double Wood,DW,10-20cm,2.25,0.101,22.3,
2017,20,11,No Litter,NL,10-20cm,2.75,0.132,20.8,
2017,20,12,Control,CTL,10-20cm,2.94,0.143,20.6,
2017,20,13,Double Litter,DL,10-20cm,3.24,0.150,21.6,
2017,20,14,Control,CTL,10-20cm,1.95,0.096,20.3,
2017,20,15,No OA,NOA,10-20cm,2.03,0.098,20.7,
2017,20,16,Double Wood,DW,10-20cm,5.90,0.190,31.1,
2017,20,17,Double Litter,DL,10-20cm,2.63,0.158,16.6,
2017,20,18,No OA,NOA,10-20cm,3.30,0.146,22.6,
2017,20,19,No Input,NI,10-20cm,2.69,0.145,18.6,
2017,20,49,No Input,NI,10-20cm,1.67,0.151,11.1,
2017,20,69,No Input,NI,10-20cm,3.16,0.164,19.3,
2017,20,19,No Input,NI,20-40cm,2.06,0.104,19.8,
2017,20,18,No OA,NOA,20-40cm,1.90,0.103,18.4,
2017,20,17,Double Litter,DL,20-40cm,1.91,0.116,16.5,
2017,20,16,Double Wood,DW,20-40cm,3.32,0.167,19.9,
2017,20,15,No OA,NOA,20-40cm,2.19,0.095,23.1,
2017,20,14,Control,CTL,20-40cm,1.89,0.108,17.5,
2017,20,13,Double Litter,DL,20-40cm,1.63,0.093,17.5,
2017,20,12,Control,CTL,20-40cm,2.30,0.128,18.0,
2017,20,69,No Input,NI,20-40cm,1.39,0.093,14.9,
2017,20,49,No Input,NI,20-40cm,1.09,0.075,14.5,
2017,20,5,Double Wood,DW,20-40cm,2.10,0.123,17.1,
2017,20,1,No Root,NR,20-40cm,2.41,0.139,17.3,
2017,20,6,No Root,NR,20-40cm,2.05,0.127,16.1,
2017,20,2,Double Litter,DL,20-40cm,2.22,0.129,17.2,
2017,20,3,No Litter,NL,20-40cm,2.25,0.123,18.3,
2017,20,4,No Root,NR,20-40cm,1.82,0.134,13.6,
2017,20,7,No Litter,NL,20-40cm,1.41,0.099,14.2,
2017,20,8,Control,CTL,20-40cm,1.98,0.127,15.6,
2017,20,9,No OA,NOA,20-40cm,1.13,0.078,14.5,
2017,20,10,Double Wood,DW,20-40cm,1.59,0.094,16.9,
2017,20,11,No Litter,NL,20-40cm,1.75,0.106,16.5,
2017,20,1,No Root,NR,40-60cm,0.94,0.061,15.4,
2017,20,2,Double Litter,DL,40-60cm,1.32,0.085,15.5,
2017,20,3,No Litter,NL,40-60cm,1.72,0.105,16.4,
2017,20,4,No Root,NR,40-60cm,1.00,0.074,13.5,
2017,20,5,Double Wood,DW,40-60cm,0.83,0.059,14.1,
2017,20,6,No Root,NR,40-60cm,0.80,0.059,13.6,
2017,20,7,No Litter,NL,40-60cm,0.71,0.046,15.4,
2017,20,8,Control,CTL,40-60cm,1.19,0.074,16.1,
2017,20,9,No OA,NOA,40-60cm,1.21,0.075,16.1,
2017,20,10,Double Wood,DW,40-60cm,1.18,0.066,17.9,
2017,20,11,No Litter,NL,40-60cm,1.02,0.065,15.7,
2017,20,12,Control,CTL,40-60cm,1.69,0.107,15.8,
2017,20,13,Double Litter,DL,40-60cm,0.94,0.050,18.8,
2017,20,14,Control,CTL,40-60cm,0.99,0.069,14.3,
2017,20,15,No OA,NOA,40-60cm,1.40,0.071,19.7,
2017,20,16,Double Wood,DW,40-60cm,2.03,0.101,20.1,
2017,20,17,Double Litter,DL,40-60cm,1.00,0.066,15.2,
2017,20,18,No OA,NOA,40-60cm,0.98,0.060,16.3,
2017,20,19,No Input,NI,40-60cm,0.82,0.048,17.1,
2017,20,49,No Input,NI,40-60cm,0.60,0.045,13.3,
2017,20,69,No Input,NI,40-60cm,0.73,0.047,15.5,
2017,20,1,No Root,NR,60-100cm,0.58,0.036,16.1,
2017,20,2,Double Litter,DL,60-100cm,1.01,0.057,17.7,
2017,20,3,No Litter,NL,60-100cm,0.44,0.030,14.7,
2017,20,4,No Root,NR,60-100cm,0.41,0.034,12.1,
2017,20,5,Double Wood,DW,60-100cm,0.47,0.033,14.2,
2017,20,6,No Root,NR,60-100cm,0.40,0.025,16.0,
2017,20,7,No Litter,NL,60-100cm,0.32,0.028,11.4,
2017,20,8,Control,CTL,60-100cm,0.56,0.043,13.0,
2017,20,9,No OA,NOA,60-100cm,0.66,0.055,12.0,
2017,20,10,Double Wood,DW,60-100cm,0.77,0.056,13.8,
2017,20,11,No Litter,NL,60-100cm,0.72,0.043,16.7,
2017,20,12,Control,CTL,60-100cm,0.80,0.056,14.3,
2017,20,13,Double Litter,DL,60-100cm,0.50,0.033,15.2,
2017,20,14,Control,CTL,60-100cm,0.53,0.035,15.1,
2017,20,15,No OA,NOA,60-100cm,0.36,0.022,16.4,
2017,20,16,Double Wood,DW,60-100cm,1.25,0.082,15.2,
2017,20,17,Double Litter,DL,60-100cm,0.92,0.068,13.5,
2017,20,18,No OA,NOA,60-100cm,0.65,0.036,18.1,
2017,20,19,No Input,NI,60-100cm,0.62,0.050,12.4,
2017,20,49,No Input,NI,60-100cm,0.34,0.032,10.6,
2017,20,69,No Input,NI,60-100cm,0.28,0.028,10.0,
