,DNP,Plot,Treatment,Trt,Rep,ToLine,ToSoil,Depth,CoreHt,Enotes,Flag,BagSampWt,RockWt,TinWt,WetSampTinWt,TotWetSampWt,Snotes,DryTinWt,TNotes,CNWeight,C,N,S,CN,WoodWt,WoodVol,WoodVolEst
1,1,15,No OA,NOA,B,NA,NA,10,5.1,,,114.41,26.61,1.62,12.46,105.48,,12.15,,96.156,1.74,0.11,0.036,15.8,0,0,0
2,2,15,No OA,NOA,B,NA,NA,7.5,2.3,,,50.53,8.56,1.22,12.71,41.69,,12.43,,91.96,1.83,0.11,0.065,16.6,0,0,0
3,3,15,No OA,NOA,B,NA,NA,5,2.4,,,57.41,11.42,1.13,10.69,48.53,,10.43,,84.439,1.77,0.11,0.042,16.1,0,0,0
4,4,15,No OA,NOA,B,NA,NA,0,5.001,,,99.8,14.86,1.15,12.07,91.15,,11.27,,89.981,2.14,0.12,0.078,17.8,0,0,0
5,5,19,No Input,NI,A,7.7,7.4,10,5.15,,,122.83,1.71,1.62,14.38,114.15,,14.15,,94.412,1.84,0.14,0.038,13.1,0,0,0
6,6,19,No Input,NI,A,7.7,7.4,7.5,2.45,,,58.95,0.829,1.63,11.95,50.18,,11.61,,92.174,2.268,NA,0.562,NA,0,0,0
7,7,19,No Input,NI,A,7.7,7.4,5,2.4,,,48.03,1.19,1.57,10.32,38.66,,10.04,,97.782,2.88,0.21,2.206,13.7,0,0,0
8,8,19,No Input,NI,A,7.7,7.4,2.5,2.4,,,50.43,0.97,1.15,11.58,41.59,,11.22,,101.045,3.69,0.19,0.04,19.4,0,0,0
9,9,19,No Input,NI,A,7.7,7.4,0,2.6,,,75.99,4.62,1.17,11.99,67.28,,11.56,,97.89,6.61,0.25,0.058,26.4,0,0,0
10,10,16,Double Wood,DW,A,6.8,7.1,10,5,,,104,10.5,1,10.48,95.28,,10.03,,90.533,2.28,0.15,0.043,15.2,0,0,0
11,11,16,Double Wood,DW,A,6.8,7.1,7.5,2.43,,,47.01,7.83,1.15,10.92,38.33,,10.57,,93.389,3.21,0.18,2.818,17.8,0,0,0
12,12,16,Double Wood,DW,A,6.8,7.1,5,2.5,,,49.37,3.17,1.13,9.11,40.7,,8.84,,84.646,3.99,0.2,0.067,20,0.63,1.6,2
13,13,16,Double Wood,DW,A,6.8,7.1,2.5,2.5,,,43.85,5.98,1.13,11.9,35,,11.48,,83.851,5.08,0.23,0.072,22.1,0,0,0
14,14,16,Double Wood,DW,A,6.8,7.1,0,2.5,,,56.48,15.77,1.15,9.65,47.67,,9.29,,83.288,10.16,0.37,0.078,27.5,0,0,0
15,15,2,Double Litter,DL,B,6.7,6.8,10,4.92,,,114.64,0,1,13.27,106.16,,12.49,,82.045,2.84,0.18,0.045,15.8,0,0,0
16,16,2,Double Litter,DL,B,6.7,6.8,7.5,2.5,,,54.2,2.68,1.12,11.98,45.65,,11.69,,92.471,2.9,0.18,0.041,16.1,0,0,0
17,17,2,Double Litter,DL,B,6.7,6.8,5,2.57,,,53.65,2.71,1.15,10.82,44.85,,10.54,,93.852,3.47,0.19,0.042,18.3,0,0,0
18,18,2,Double Litter,DL,B,6.7,6.8,2.5,2.51,,,43.09,0,1.62,10.48,33.03,,10.19,,97.687,4.15,0.25,0.086,16.6,0.53,1.5,4
19,19,2,Double Litter,DL,B,6.7,6.8,0,2.4,,,64.72,1.7,1.6,10.72,55.81,,9.84,,87.03,8.01,0.33,0.982,24.3,0,0,0
20,20,15,No OA,NOA,A,6.7,8.4,10,5.1,Big chunk of wood in core,X,124.22,31.89,1.16,10.02,115.39,,9.48,,87.615,1.42,0.09,0.047,15.8,12.95,14,22
21,21,15,No OA,NOA,A,6.7,8.4,7.5,2.25,,,46,7.2,1.14,12.45,37.48,,12.15,,86.932,1.78,0.1,0.039,17.8,0,0,0
22,22,15,No OA,NOA,A,6.7,8.4,5,2.75,"Spilled, weight NOT accurate",X,58.47,10.26,1.62,10.89,49.67,,10.46,,97.727,1.84,0.1,0.039,18.4,0,0,0
23,23,15,No OA,NOA,A,6.7,8.4,0,5.001,,,94.8,11.63,1.45,13.45,85.95,,12.33,,97.682,2.39,0.12,0.05,19.9,0,0,0
24,24,2,Double Litter,DL,C,6.9,6.9,10,4.97,,,117.49,1.76,1.4,13.03,108.33,,10.76,,86.992,2.66,0.16,1.744,16.6,0.36,1,3
25,25,2,Double Litter,DL,C,6.9,6.9,7.5,2.24,,,48.04,0,0.96,10.6,39.37,,9.88,,97.504,3.91,0.19,0.059,20.6,0.8,2,5.5
26,26,2,Double Litter,DL,C,6.9,6.9,5,2.7,,,54.87,0,0.98,11.47,46.21,,10.64,,81.974,3.65,0.19,0.062,19.2,0.34,1.5,2.5
27,27,2,Double Litter,DL,C,6.9,6.9,2.5,2.25,,,47.61,0,1.45,10,38.95,,9.59,,96.322,4.22,0.19,0.061,22.2,0,0,0
28,28,2,Double Litter,DL,C,6.9,6.9,0,2.7,,,89.32,2.19,1.12,10.52,80.57,,9.46,,89.153,4.95,0.22,0.049,22.5,0,0,0
29,29,19,No Input,NI,C,6.6,6.15,10,4.85,"Spilled, weight NOT accurate, surface of core was decaying burnt log",X,117.85,2.63,1.61,10.196,109.12,,9.45,,91.433,2.64,0.17,0.04,15.5,0,0,0
30,30,19,No Input,NI,C,6.6,6.15,7.5,2.52,Surface of core was decaying burnt log,X,58.38,0,1,12.18,49.45,,11.45,,85.665,3.38,0.18,0.043,18.8,0,0,0
31,31,19,No Input,NI,C,6.6,6.15,5,2.4,Surface of core was decaying burnt log,X,51.68,0,1.39,11.35,42.84,,10.76,,92.694,4.25,0.19,0.038,22.4,0,0,0
32,32,19,No Input,NI,C,6.6,6.15,2.5,2.75,Surface of core was decaying burnt log,X,47.03,0,1.14,9.71,38.28,,9.28,,92.57,6.77,0.25,0.059,27.1,0,0,0
33,33,19,No Input,NI,C,6.6,6.15,0,2.6,Surface of core was decaying burnt log,X,45.49,0,0.96,9.6,36.62,,7.08,,89.841,31.78,0.57,0.078,55.8,0,0,0
34,34,15,No OA,NOA,C,6.7,7.1,10,5.1,Wonky extraction,X,115.8,8.12,1,12.11,107.07,,10.95,,94.698,1.18,0.08,0.042,14.8,0.22,0.9,1.5
35,35,15,No OA,NOA,C,6.7,7.1,7.5,2.4,Wonky extraction,X,60.27,14.41,1.13,10.62,51.55,,10.16,,94.152,1.24,0.08,0.043,15.5,0.43,1,2
36,36,15,No OA,NOA,C,6.7,7.1,5,2.45,Wonky extraction,X,47.92,8.08,1.62,12.46,38.96,,11.97,,91.889,1.32,0.09,0.042,14.7,0.5,2,2.5
37,37,15,No OA,NOA,C,6.7,7.1,2.5,2.45,Wonky extraction,X,46.15,3.62,1.62,13.33,36.84,,13.06,,98.971,1.32,0.09,0.048,14.7,0,0,0
38,38,15,No OA,NOA,C,6.7,7.1,0,2.7,Wonky extraction,X,78.12,7.29,1.63,13.67,68.93,,13.35,,92.045,1.89,0.12,0.04,15.8,0,0,0
39,39,3,No Litter,NL,B,7.5,8.4,10,5,,,111.44,12.62,1.61,12.08,102.57,,11.28,,103.661,2.23,0.13,0.2,17.2,0.4,1.2,2
40,40,3,No Litter,NL,B,7.5,8.4,7.5,2.48,,,53.75,8.03,1.62,10.91,45.05,,10.64,,90.876,2.622,0.164,0.642,16,0,0,0
41,41,3,No Litter,NL,B,7.5,8.4,5,2.4,,,50.78,2.56,1.62,10.44,41.99,,10.07,,97.527,3.09,0.16,0.04,19.3,0,0,0
42,42,3,No Litter,NL,B,7.5,8.4,2.5,2.3,,,46.72,4.76,1.64,10.31,38.04,,9.93,,91.715,3.99,0.18,0.043,22.2,0,0,0
43,43,3,No Litter,NL,B,7.5,8.4,0,2.9,Mossy top,,57.28,14.1,1.58,8.85,47.91,,8.63,,83.225,14.59,0.47,0.078,31,0,0,0
44,44,19,No Input,NI,B,6.9,7.3,10,5.07,,,116.56,4.08,1.63,12.76,107.76,,11.65,,91.316,2.71,0.17,0.04,15.9,0.25,0.5,2
45,45,19,No Input,NI,B,6.9,7.3,7.5,2.35,,,56.95,0,1.63,11.42,48.28,,10.97,,99.565,3.19,0.17,0.038,18.8,0,0,0
46,46,19,No Input,NI,B,6.9,7.3,5,2.52,,,37.24,0.6,1.62,9.95,28.68,,9.71,,84.61,6.89,0.3,0.093,23,1.39,3.1,5
47,47,19,No Input,NI,B,6.9,7.3,2.5,2.35,,,48.42,1.81,1.63,11.53,39.61,,11.2,,90.129,5.56,0.27,0.048,20.6,0,0,0
48,48,19,No Input,NI,B,6.9,7.3,0,2.7,,,72.43,3.06,1.63,10.93,63.63,,10.33,,90.635,6.41,0.25,0.124,25.6,0,0,0
49,49,2,Double Litter,DL,A,6.8,7.2,10,5.1,,,125.44,26.25,1.63,11.98,116.64,,10.84,,88.885,3.43,0.17,0.062,20.2,0,0,0
50,50,2,Double Litter,DL,A,6.8,7.2,7.5,2.2,,,50.81,6.97,0.96,10.71,42.23,LOTS OF CHARCOAL IN <2MM,10.45,,81.823,5,0.2,0.05,25,0,0,0
51,51,2,Double Litter,DL,A,6.8,7.2,5,2.7,,,54.68,6.35,1.56,10.32,45.91,,9.97,,81.125,7.48,0.27,0.099,27.7,0,0,0
52,52,2,Double Litter,DL,A,6.8,7.2,2.5,2.45,,,36.8,0.79,0.96,10.54,27.93,,10.16,,82.671,8.46,0.27,0.093,31.3,1.06,2.1,7
53,53,2,Double Litter,DL,A,6.8,7.2,0,2.7,,,43.95,7.54,1.64,11.29,35.17,,10.16,,95.432,14.26,0.44,0.08,32.4,0.66,1,2
54,54,3,No Litter,NL,B,7.4,8.4,10,4.88,,,114.91,8.78,1.62,11.15,105.1,,10.84,,98.78,1.35,0.12,0.068,11.3,0,0,0
55,55,3,No Litter,NL,B,7.4,8.4,7.5,2.58,,,53.18,3.86,1.61,14.08,44.15,,13.45,,92.94,2.08,0.13,0.092,16,0.31,0.7,2
56,56,3,No Litter,NL,B,7.4,8.4,5,2.5,,,46.06,16.47,1.63,11.36,37.24,,11.05,,92.336,2.02,0.17,1.162,11.9,0,0,0
57,57,3,No Litter,NL,B,7.4,8.4,2.5,2.5,,,40.72,3.99,1.63,10.71,31.69,,10.28,,83.498,2.069,0.16,1.03,12.9,0,0,0
58,58,3,No Litter,NL,B,7.4,8.4,0,2.65,Mossy top,,83.2,6.65,1.64,11.14,74.4,,10.67,,98.382,4.32,0.22,0.076,19.6,0,0,0
59,59,1,No Root,NR,B,7.7,6.3,10,5.1,,,118.93,0,1.64,14.43,109.61,,14.06,,81.006,2.226,0.171,1.02,13,0,0,0
60,60,1,No Root,NR,B,7.7,6.3,7.5,2.2,,,58.63,0,1.61,11.2,49.52,,10.99,,95.245,2.37,0.16,0.039,14.8,0,0,0
61,61,1,No Root,NR,B,7.7,6.3,5,2.5,,,60.99,0,0.93,10.69,52.5,,10.4,,91.271,3,0.17,0.048,17.6,0,0,0
62,62,1,No Root,NR,B,7.7,6.3,2.5,2.6,,,52.36,1.95,1.58,10.69,43.45,Big roots,11.14,,84.414,4.727,0.234,1.215,20.2,0.7,2.1,4.5
63,63,1,No Root,NR,B,7.7,6.3,0,2.6,Larger top piece than measured…?,,98.86,5.14,1.62,10.73,89.69,,8.58,,82.668,9.26,0.36,0.059,25.7,0,0,0
64,64,1,No Root,NR,A,7.8,10,10,4.83,,,95.21,1.54,1.63,12.06,86.38,,11.52,,91.088,4.08,0.24,0.078,17,0,0,0
65,65,1,No Root,NR,A,7.8,10,7.5,2.3,,,46.95,5.05,1.22,10.64,38.13,,10.3,,87.268,4.24,0.2,0.058,21.2,0,0,0
66,66,1,No Root,NR,A,7.8,10,5,2.6,,,40.52,1.48,1.66,10,30.72,,9.75,,86.736,3.77,0.19,0.043,19.8,0,0,0
67,67,1,No Root,NR,A,7.8,10,0,5.001,,,66.11,1.61,1.59,11.51,61.05,,11.13,,81.568,7.38,0.27,0.048,27.3,0,0,0
68,68,3,No Litter,NL,C,7.6,9.2,10,4.65,Wonky extraction,X,76.98,18.94,1.13,10.3,68.14,,9.89,,89.577,3.67,0.14,0.047,26.2,0.89,2.2,4
69,69,3,No Litter,NL,C,7.6,9.2,7.5,2.55,Wonky extraction,X,45.09,14.13,0.97,11.01,36.38,,10.61,,83.692,2.69,0.11,0.058,24.5,0,0,0
70,70,3,No Litter,NL,C,7.6,9.2,5,2.25,Wonky extraction,X,36.56,6.17,0.97,11.85,27.76,,10.49,,84.895,1.94,0.11,3.227,17.6,0,0,0
71,71,3,No Litter,NL,C,7.6,9.2,2.5,2.4,Wonky extraction,X,44.63,1.85,1.62,11.67,35.9,,11.34,,93.371,2.209,0.097,0.983,22.7,0,0,0
72,72,3,No Litter,NL,C,7.6,9.2,0,2.8,Wonky extraction,X,73.65,6.77,1.13,11.95,64.84,Light charcoal,1228,,94.321,3.864,0.19,0.961,20.4,0,0,0
73,73,17,Double Litter,DL,C,7.7,6.6,10,4.95,,,121.89,1.39,1.65,12.46,112.4,,12.08,,80.957,2.347,0.343,1,6.8,0,0,0
74,74,17,Double Litter,DL,C,7.7,6.6,7.5,2.38,,,56.94,0,1.39,11.92,48.28,,11.5,,82.815,3.38,0.21,0.046,16.1,0,0,0
75,75,17,Double Litter,DL,C,7.7,6.6,5,2.65,,,58.83,0.92,1.15,9.15,50.22,,10.42,,80.03,3.92,0.23,0.05,17,0,0,0
76,76,17,Double Litter,DL,C,7.7,6.6,2.5,2.5,,,53.19,0,1.31,11.96,44.5,,11.54,,83.937,5.65,0.28,0.064,20.2,0,0,0
77,77,17,Double Litter,DL,C,7.7,6.6,0,2.6,,,76.67,6.97,1.63,11.55,67.8,,11.1,,82.869,10.16,0.42,0.062,24.2,0,0,0
78,78,1,No Root,NR,C,7.6,8.2,10,5,,,93.67,8.05,1.6,11.66,84.89,,11.38,,86.002,4.298,0.259,1.038,16.6,0,0,0
79,79,1,No Root,NR,C,7.6,8.2,7.5,2.25,,,52.97,0.99,1.39,10.4,44.1,,10.11,,80.251,5.42,0.26,0.052,20.8,0,0,0
80,80,1,No Root,NR,C,7.6,8.2,5,2.65,,,53.46,7.51,1.14,11.82,44.51,,11.37,,92.823,4.546,0.231,1.05,19.7,0,0,0
81,81,1,No Root,NR,C,7.6,8.2,2.5,2.42,,,45.59,2.26,1.63,10.96,36.76,,9.79,,91.432,5.7,0.26,0.045,21.9,0,0,0
82,82,1,No Root,NR,C,7.6,8.2,0,2.5,,,42.75,2.43,1.61,10.29,33.84,,9.74,,82.173,13.53,0.38,0.06,35.6,0,0,0
83,83,17,Double Litter,DL,A,7.5,8.3,10,4.87,,,116.3,20.5,1.63,11.69,107.3,,11.98,,86.676,3.93,0.21,0.049,18.7,0.2,1,2
84,84,17,Double Litter,DL,A,7.5,8.3,7.5,2.4,,,45.45,0,1.21,11.57,36.42,,9.9,,92.59,4.46,0.27,1.496,16.5,0,0,0
85,85,17,Double Litter,DL,A,7.5,8.3,5,2.5,,,49.82,1.12,1.64,9.4,40.81,Light charcoal,9.02,Small spill before weight,84.901,5.247,0.256,1.194,20.5,0,0,0
86,86,17,Double Litter,DL,A,7.5,8.3,2.5,2.7,,,48.68,0,1.56,10.59,39.68,,8.66,,87.286,7.83,0.28,4.787,28,0,0,0
87,87,17,Double Litter,DL,A,7.5,8.3,0,2.9,,,60.52,3.36,1.58,11.77,51.57,,9.35,,96.265,8.54,0.29,0.07,29.4,0,0,0
88,88,17,Double Litter,DL,B,7.7,8,10,4.9,,,84.86,1.51,1.62,11.93,75.97,Light charcoal,11.71,,85.16,8.78,0.29,0.05,30.3,0,0,0
89,89,17,Double Litter,DL,B,7.7,8,7.5,2.57,,,34.87,4,1.6,8.72,26.01,ALL WOOD,8.36,,95.75,17.8,0.43,0.108,41.4,0,0,0
90,90,17,Double Litter,DL,B,7.7,8,5,2.3,,,21.61,0,1.63,6.06,12.9,"Almost ALL WOOD, some charcoal, no 2mm extra",NA,NA,NA,NA,NA,NA,NA,0,0,0
91,91,17,Double Litter,DL,B,7.7,8,2.5,2.4,,,26.59,0,1.38,10.47,17.7,,9.8,,84.327,27.689,0.638,3.165,43.4,0,0,0
92,92,17,Double Litter,DL,B,7.7,8,0,2.6,,,28.91,0.79,1.37,10.39,19.98,,9.61,,91.943,30.43,0.76,1.125,40,0,0,0
93,93,4,No Root,NR,C,7.8,7,10,5.2,,,116.9,0,1.65,11.27,107.99,Some charcoal,12.73,,90.444,2.95,0.22,0.079,13.4,0,0,0
94,94,4,No Root,NR,C,7.8,7,7.5,2.2,,,59.29,0,1.64,11.94,50.36,Light charcoal,11.48,,94.092,2.876,0.195,1.11,14.7,0,0,0
95,95,4,No Root,NR,C,7.8,7,5,2.5,,,55.61,1.59,1.62,10.17,46.8,,10.09,Or 181?,88.104,3.02,0.2,0.046,15.1,0,0,0
96,96,4,No Root,NR,C,7.8,7,2.5,2.48,,,68.45,1.81,1.58,10.02,59.59,,9.66,,80.63,7.62,0.33,0.059,23.1,0,0,0
97,97,4,No Root,NR,C,7.8,7,0,2.3,,,54.25,1.08,0.99,12.51,45.41,,11.97,,90.91,4.13,0.23,0.052,18,0,0,0
98,98,5,Double Wood,DW,A,7.9,10.6,10,5.23,,,121.12,0,1.32,12.33,112.12,,10.94,,94.39,3.45,0.23,0.068,15,0,0,0
99,99,5,Double Wood,DW,A,7.9,10.6,7.5,2.7,,,44.9,0,1.6,10.64,36.99,,9.93,,96.66,8.08,0.34,0.092,23.8,0,0,0
100,100,5,Double Wood,DW,A,7.9,10.6,5,1.97,,,20.71,0,1.39,7.51,11.74,"Very little sample, LOTS OF WOOD",6.98,,86.12,17.672,0.492,0.06,35.9,0,0,0
101,101,5,Double Wood,DW,A,7.9,10.6,2.5,2.75,,,26.11,1.61,1.14,8.56,17.21,mostly wood,7.85,,86.5,19.19,0.53,0.11,36.2,0,0,0
102,102,5,Double Wood,DW,A,7.9,10.6,0,2.35,,,19.76,0,0.96,6.46,10.93,mostly wood,5.92,,85.962,20.716,0.625,0.183,33.1,0,0,0
103,103,5,Double Wood,DW,B,7.9,8,10,4.88,,,103.74,0,1.55,12.38,101.01,"Sample burned, some sample LOST",11.11,,83.171,0.897,0.062,0.033,14.5,0,0,0
104,104,5,Double Wood,DW,B,7.9,8,7.5,2.7,,,64.46,0,1.38,13.47,61.74,Burned in oven - no loss,11.91,,91.662,0.856,0.073,0.062,11.7,0,0,0
105,105,5,Double Wood,DW,B,7.9,8,5,2.05,,,35.33,0,0.98,12.62,32.66,"Sample burned, some sample LOST",11.73,,90.626,1.874,0.127,0.037,14.8,0.31,1,2
