,DNP,Plot,Treatment,Trt,Rep,ToLine,ToSoil,Depth,CoreHt,Enotes,Flag,BagSampWt,RockWt,TinWt,WetSampTinWt,TotWetSampWt,Snotes,DryTinWt,TNotes,CNWeight,C,N,S,CN,WoodWt,WoodVol,WoodVolEst
207,201,8,Control,CTL,C,7.7,8,10,5,,,98.84,4.95,1.45,11.93,90.4,,11.2,,89.282,3.251,0.199,0.042,16.3,0,0,0
208,202,8,Control,CTL,C,7.7,8,7.5,2.57,,,56.01,5.44,1.62,12.21,47.45,,11.88,,80.895,5.77,0.294,0.05,19.6,0,0,0
209,203,8,Control,CTL,C,7.7,8,5,2.4,,,73.09,1.64,1.61,13.63,64.41,,10.63,,89.506,7.53,0.376,0.056,20,0,0,0
210,204,8,Control,CTL,C,7.7,8,2.5,2.5,,,47.35,2.79,1.39,10.54,38.8,,10.25,,96.027,6.173,0.319,0.059,19.4,0,0,0
211,205,8,Control,CTL,C,7.7,8,0,2.55,,,49.87,2.72,1.58,10.96,40.76,,10.71,,85.424,5.076,0.278,0.059,18.3,0,0,0
212,206,13,Double Litter,DL,B,7.8,7.8,10,4.8,,,97.13,0,1.4,15.02,88.65,Heavy wood,14.02,,89.565,4.063,0.235,0.051,17.3,0,0,0
213,207,13,Double Litter,DL,B,7.8,7.8,7.5,2.48,,,50.84,1.295,1.61,11.02,42.26,moist soil,9.42,,94.877,4.627,0.227,0.038,20.4,0,0,0
214,208,13,Double Litter,DL,B,7.8,7.8,5,2.5,,,40.3,0,1.61,10.42,31.71,some wood,10.15,,94.068,7.028,0.316,0.047,22.2,0,0,0
215,209,13,Double Litter,DL,B,7.8,7.8,2.5,2.6,,,41.48,7.52,1.61,10.71,32.84,some wood,10.36,,98.097,5.736,0.308,0.049,18.6,0,0,0
216,210,13,Double Litter,DL,B,7.8,7.8,0,2.45,,,71.06,5,1.38,12.94,62.5,,10.55,,88.793,7.138,0.338,0.047,21.1,0,0,0
217,211,8,Control,CTL,B,7.8,9.6,10,5.1,,,118.1,0,1.59,12.1,109.47,Some charcoal,11.46,,98.994,2.226,0.156,0.044,14.3,0,0,0
218,212,8,Control,CTL,B,7.8,9.6,7.5,2.35,,,51.02,0.78,1.44,11.58,42.61,,11.11,,80.778,3.731,0.213,0.047,17.5,0,0,0
219,213,8,Control,CTL,B,7.8,9.6,5,2.63,,,40.94,0,1.57,10.25,32.39,,9.83,,98.956,8.341,0.311,0.05,26.8,1.73,2.5,7
220,214,8,Control,CTL,B,7.8,9.6,2.5,2.3,,,42.72,0,1.59,12.63,34.13,,12.16,,85.69,5.059,0.214,0.061,23.6,0,0,0
221,215,8,Control,CTL,B,7.8,9.6,0,2.52,,,38.86,0,1.64,10.88,30.42,,10.45,,90.005,6.297,0.292,0.053,21.6,0,0,0
222,216,13,Double Litter,DL,A,7.7,8.9,10,5.15,"Lots of wood, CHARCOAL",X,85.26,12.9,1.56,12.07,76.78,CHARCOAL,11.65,,95.67,7.55,0.24,0.042,31.5,1.08,2.5,4.5
223,217,13,Double Litter,DL,A,7.7,8.9,7.5,2.32,"Lots of wood, CHARCOAL",X,20.27,0,1.21,4.31,15.79,ALL WOOD,4.13,,94.081,37.364,0.966,0.135,38.7,0,0,0
224,218,13,Double Litter,DL,A,7.7,8.9,5,2.45,"Lots of wood, CHARCOAL",X,17.06,0,1.61,7.67,8.7,LOTS OF WOOD,7.27,,84.295,40.415,1.482,0.163,27.3,0.99,2.7,7
225,219,13,Double Litter,DL,A,7.7,8.9,2.5,2.5,Lots of wood,X,15.1,0,0.99,4.66,6.76,Lots of wood,4.43,,93.183,43.55,1.557,0.161,28,0,0,0
226,220,13,Double Litter,DL,A,7.7,8.9,0,2.5,Lots of wood,X,14.66,0,1.64,4,6.16,ALL WOOD,3.84,,82.335,40.492,1.382,0.144,29.3,0.85,2.4,5
227,221,8,Control,CTL,A,7.6,8.6,10,4.97,,,118.76,1.63,1.59,12.99,110.04,,11.84,,85.346,1.994,0.148,0.04,13.5,0,0,0
228,222,8,Control,CTL,A,7.6,8.6,7.5,2.38,,,53.16,5.12,0.97,10.88,44.6,,10.54,,90.819,2.232,0.158,0.059,14.1,0,0,0
229,223,8,Control,CTL,A,7.6,8.6,5,2.6,,,52.59,0.93,1.23,11.11,44.17,,10.77,,82.683,3.066,0.196,0.051,15.6,0,0,0
230,224,8,Control,CTL,A,7.6,8.6,2.5,2.5,,,42.99,2.69,1,10.27,34.52,,9.89,,82.611,3.446,0.194,0.049,17.8,0,0,0
231,225,8,Control,CTL,A,7.6,8.6,0,2.45,,,56.89,1.77,1.61,10.8,48.34,,9.95,,95.63,6.252,0.311,0.049,20.1,0,0,0
232,226,10,Double Wood,DW,A,6.7,8.5,10,5.15,Big chunk of wood in core,X,100.64,1.28,1.61,11.27,91.88,,10.94,,98.563,5.248,0.189,0.039,27.8,4,10,8
233,227,10,Double Wood,DW,A,6.7,8.5,7.5,2.3,Big chunk of wood in core,X,25.34,0,1.63,9.93,16.75,Lots of wood,9.4,,92.997,31.657,0.707,0.085,44.8,0,0,0
234,228,10,Double Wood,DW,A,6.7,8.5,5,2.5,Big chunk of wood in core,X,19.63,0,0.961,5.82,10.79,ALL WOOD,5.48,,88.674,45.626,1.023,0.084,44.6,0,0,0
235,229,10,Double Wood,DW,A,6.7,8.5,0,5.001,Big chunk of wood in core,X,18.98,0,1.63,9.9,10.59,LOTS OF WOOD,9.37,,98.27,45.94,1.19,0.183,38.6,0,0,0
236,230,12,Control,CTL,B,6.5,8.3,10,5.1,ALL WOOD,X,29.29,0,1.63,3.97,20.73,ALL WOOD,3.82,,92.992,35.559,0.485,0.065,73.3,0,0,0
237,231,12,Control,CTL,B,6.5,8.3,7.5,2.3,ALL WOOD,X,15.16,0,1.31,2.51,6.59,ALL WOOD,2.45,,97.727,44.571,0.397,0.06,112.3,0,0,0
238,232,12,Control,CTL,B,6.5,8.3,5,2.6,ALL WOOD,X,15.28,0,1.44,2.88,6.7,ALL WOOD,2.76,,86.314,43.094,0.418,0.123,103.1,0,0,0
239,233,12,Control,CTL,B,6.5,8.3,0,5.001,ALL WOOD,X,24.36,0,1.64,5.99,15.92,ALL WOOD,5.76,,83.353,42.711,0.532,0.072,80.3,0,0,0
240,234,11,No Litter,NL,A,6.5,6.9,10,5.05,,,117.1,0,1.64,11.75,108.59,,11.48,,96.06,2.25,0.18,0.066,12.5,0,0,0
241,235,11,No Litter,NL,A,6.5,6.9,7.5,2.45,,,55.26,0,1.58,12.44,46.8,,12.07,,82.906,2.971,0.188,0.047,15.8,0,0,0
242,236,11,No Litter,NL,A,6.5,6.9,5,2.5,,,55.35,0,1.39,11.84,46.9,,11.21,,90.591,3.742,0.199,0.087,18.8,0,0,0
243,237,11,No Litter,NL,A,6.5,6.9,2.5,2.3,,,34.92,0,1.64,11.59,26.34,,10.96,,88.178,6.42,0.28,0.055,22.9,0,0,0
244,238,11,No Litter,NL,A,6.5,6.9,0,2.65,,,59.59,0,1.43,10.92,51.02,,10.36,,84.581,8.7,0.261,0.048,33.3,0,0,0
245,239,11,No Litter,NL,C,7.7,7.7,10,5.3,,,112.39,0,1.41,13.31,103.01,,12.12,,92.473,2.987,0.169,0.041,17.7,2.16,3.8,8
246,240,11,No Litter,NL,C,7.7,7.7,7.5,2.3,,,38.25,0,1.62,10.72,29.8,,10.38,,85.292,5.563,0.21,0.091,26.5,0,0,0
247,241,11,No Litter,NL,C,7.7,7.7,5,2.2,"Change in soil texture, sandier than below",X,42.17,0.89,1.4,12.52,33.68,,11.92,,91.085,1.684,0.075,0.032,22.5,0,0,0
248,242,11,No Litter,NL,C,7.7,7.7,2.5,2.4,"Change in soil texture, sandier than below",X,56.39,1.79,0.97,14.29,46.09,SMALL ROCKS,13.66,,95.189,1.11,0.09,0.039,12.3,0,0,0
249,243,11,No Litter,NL,C,7.7,7.7,0,2.7,"Change in soil texture, sandier than below",X,105.34,3.68,1.45,12.58,96.58,lots of little rocks,12.01,,93.249,1.406,0.072,0.032,19.5,0,0,0
250,244,11,No Litter,NL,B,6.7,7.5,10,4.8001,"Cutting blade bent, swirl cut",,95.62,0,1.38,12.5,87.04,,11.95,,99.005,1.59,0.122,0.056,13,0,0,0
251,245,11,No Litter,NL,B,6.7,7.5,7.5,2.6,"Cutting blade bent, swirl cut",,64.45,0,1.58,12.08,55.97,,11.15,,84.155,2.34,0.18,0.054,13,0,0,0
252,246,11,No Litter,NL,B,6.7,7.5,5,2.3,"Cutting blade bent, swirl cut",,52.22,0,0.97,13.29,43.46,,12.56,,97.352,2.778,0.178,0.034,15.6,0,0,0
253,247,11,No Litter,NL,B,6.7,7.5,2.5,2.6,"Cutting blade bent, swirl cut",,53.04,0,1.63,13.45,44.33,,12.88,,83.336,3.387,0.188,0.045,18,0,0,0
254,248,11,No Litter,NL,B,6.7,7.5,0,2.9001,"Cutting blade bent, swirl cut",,65.85,2.14,1.4,15.76,57.26,,14.95,,99.175,6.148,0.222,0.037,27.7,0,0,0
255,249,10,Double Wood,DW,C,4.5,4.5,10,5.02,,,157.12,1.028,1.58,13.09,147.65,moist soil,10.07,,80.43,1.373,0.183,0.053,7.5,0,0,0
256,250,10,Double Wood,DW,C,4.5,4.5,7.5,2.6,,,77.55,0,1.66,14.16,68.47,moist soil,10.99,,96.234,1.811,0.111,0.03,16.3,0,0,0
257,251,10,Double Wood,DW,C,4.5,4.5,5,2.4,,,68.38,0,1.61,11.75,59.86,,9.05,,95.1,2.338,0.142,0.031,16.5,0,0,0
258,252,10,Double Wood,DW,C,4.5,4.5,2.5,2.2,,,46.73,0,1.21,11.26,38.25,,8.3,,84.451,4.421,0.225,0.07,19.6,0,0,0
259,253,10,Double Wood,DW,C,4.5,4.5,0,2.65,,,39.61,0,1.37,10.42,31.02,ALL WOOD,5.88,,83.139,35.4,0.87,0.142,40.7,0,0,0
260,254,16,Double Wood,DW,C,7.8,8.8,10,5.15,,,115.31,26.09,1.12,10.43,106.43,,8.25,,91.204,3.26,0.22,0.047,14.8,0,0,0
261,255,16,Double Wood,DW,C,7.8,8.8,7.5,2.5,,,61.03,7.6,1.65,12.78,52.34,,10.33,,80.34,3.39,0.215,0.132,15.8,0,0,0
262,256,16,Double Wood,DW,C,7.8,8.8,5,2.5,,,55.01,4.99,1.62,11.06,46.5,,9.07,,84.63,3.948,0.216,0.042,18.3,0,0,0
263,257,16,Double Wood,DW,C,7.8,8.8,0,5.001,,,107.21,11.64,1.62,11.78,98.41,Some wood,9.23,,84.123,7.258,0.304,0.049,23.9,0,0,0
264,258,12,Control,CTL,C,6.6,7.8,10,5.4,"Lots of thick, clay",,169.68,0,1.63,12.44,160.95,THICK CLAY,9.38,,94.662,0.881,0.066,0.027,13.3,0,0,0
265,259,12,Control,CTL,C,6.6,7.8,7.5,2.4,,,60.15,0,0.98,11.17,51.85,Light roots,10.31,,93.738,1.524,0.09,0.032,16.9,0,0,0
266,260,12,Control,CTL,C,6.6,7.8,5,2.5,,,49.64,0,1.62,13.18,41.29,Light charcoal,12.4,,80.895,1.488,0.112,0.04,13.3,0,0,0
267,261,12,Control,CTL,C,6.6,7.8,2.5,2.65,,,32.7,0,1.6,13.15,24.39,,12.39,,87.613,2.552,0.128,0.036,19.9,0,0,0
268,262,12,Control,CTL,C,6.6,7.8,0,2.4,,,52.09,0,1.13,13.3,43.72,,11.59,,98.656,4.04,0.22,0.048,18.4,0,0,0
269,263,12,Control,CTL,A,6.6,9.8,10,4.85,,,122.07,0,1,13.25,113.62,,11.69,,92.684,4.369,0.219,0.043,19.9,0,0,0
270,264,12,Control,CTL,A,6.6,9.8,7.5,2.5,,,43.52,0,1.17,8.38,35.22,Some wood,7.78,,94.239,11.017,0.341,0.049,32.3,1,1.1,4
271,265,12,Control,CTL,A,6.6,9.8,5,2.7,,,62.63,0,1.4,13.91,54.2,THICK CLAY,9.28,,93.403,6.686,0.252,0.041,26.5,1.69,2.3,4
272,266,12,Control,CTL,A,6.6,9.8,0,4.3,,,33.66,0,1.62,7.08,25.26,"light wood, small < 2mm",6.85,,96.313,10.814,0.346,0.048,31.3,0,0,0
273,267,10,Double Wood,DW,B,7.65,9.7,10,4.5,,,111,0,1.15,11.23,102.25,heavy wood and charcoal,9.05,,82.802,5.481,0.242,0.047,22.6,0,0,0
274,268,10,Double Wood,DW,B,7.65,9.7,7.5,2.4,,,23.53,0,1.63,7.34,15.12,heavy wood,6.97,,94.786,28.82,0.84,0.11,34.3,1.26,2.3,4
275,269,10,Double Wood,DW,B,7.65,9.7,5,2.3,,,22.6,0,1.63,8.81,14.38,"Mostly wood, some charcoal",8.43,,87.783,31.876,0.865,0.094,36.9,1.01,2.5,5
276,270,10,Double Wood,DW,B,7.65,9.7,0,4.8001,,,24.92,0,1.63,6.77,16.65,ALL WOOD,6.33,,98.324,41.666,0.865,0.086,48.2,0,0,0
277,271,16,Double Wood,DW,B,7.9,9.1,10,4.7,,,109.26,8.33,1,13,100.34,,11.45,,97.029,4.118,0.209,0.042,19.7,0,0,0
278,272,16,Double Wood,DW,B,7.9,9.1,7.5,2.35,,,47.74,8.43,1.62,11.35,39.32,"heavy charcoal, some rocks, some roots",11.01,,93.36,7.55,0.3,0.052,25.2,0.18,1,2
279,273,16,Double Wood,DW,B,7.9,9.1,5,2.4,,,21.24,1.74,1.64,6.56,12.97,Mostly wood w/ fungus,6.33,,84.542,24.165,0.758,0.228,31.9,0,0,0
280,274,16,Double Wood,DW,B,7.9,9.1,0,5.001,,,27.11,0,1.58,4.39,18.74,ALL WOOD,3.86,,94.348,46.374,1.171,0.127,39.6,0,0,0
281,275,9,No OA,NOA,B,5.2,5.1,10,4.5,Big rock in 10-15cm,,114.79,41.82,1.6,11.1,106.29,Huge rock,9.05,,85.827,0.702,0.073,0.024,9.6,0,0,0
282,276,9,No OA,NOA,B,5.2,5.1,7.5,2.25,,,67.21,9.65,1.15,10.71,58.71,,8.54,,93.986,0.99,0.1,0.09,9.9,0,0,0
283,277,9,No OA,NOA,B,5.2,5.1,5,2.05,,,58.26,8.03,1,11.33,49.76,,9.14,,NA,NA,NA,NA,NA,0,0,0
284,278,9,No OA,NOA,B,5.2,5.1,2.5,2.5,,,92.14,11.48,1.62,12.7,83.64,,10.15,,99.211,1.32,0.1,0.07,13.2,0,0,0
285,279,9,No OA,NOA,B,5.2,5.1,0,2.3,,,119.74,0,1.63,12.37,111.24,,10.1,,96.881,1.98,0.13,0.071,15.2,0,0,0
286,280,9,No OA,NOA,C,6.6,7.1,10,4.9,"Charcoal, roots, clay, rock",,172.34,0,1.21,12.31,163.84,,9.06,,96.705,1.004,0.089,0.029,11.3,0,0,0
287,281,9,No OA,NOA,C,6.6,7.1,7.5,2.1,"Charcoal, roots, clay, rock",,38.69,0,1.56,10.97,30.19,Wood,9.05,,97.496,1.46,0.11,0.076,13.3,0,0,0
288,282,9,No OA,NOA,C,6.6,7.1,5,2.9,"Charcoal, roots, clay, rock",,65.78,14.46,1.13,11.17,57.28,Large rock,8.46,,83.873,1.753,0.118,0.028,14.9,0,0,0
289,283,9,No OA,NOA,C,6.6,7.1,2.5,2.4,"Charcoal, roots, clay, rock",,49.84,14.68,1.62,11.41,41.34,,8.04,,NA,NA,NA,NA,NA,0,0,0
290,284,9,No OA,NOA,C,6.6,7.1,0,2.6,"Charcoal, roots, clay, rock",,160.19,11.21,1.64,13.07,151.69,,10.1,,92.896,1.437,0.102,0.032,14.1,0,0,0
291,285,18,No OA,NOA,C,7,7,10,5.4,,,160.95,5.89,1.64,11.29,152.45,,8.63,,82.61,1.28,0.12,0.075,10.7,0,0,0
292,286,18,No OA,NOA,C,7,7,7.5,2.2,,,85.49,8.35,1.12,10.25,76.99,,7.86,,97.415,1.64,0.15,1.17,10.9,0,0,0
293,287,18,No OA,NOA,C,7,7,5,2.4,,,51.85,11.5,1.13,10.47,43.35,Big rocks,8.96,,92.758,1.69,0.12,0.068,14.1,0,0,0
294,288,18,No OA,NOA,C,7,7,2.5,2.5,,,66.69,2.74,1.63,9.37,58.19,,7.66,,83.114,1.54,0.14,0.075,11,0,0,0
295,289,18,No OA,NOA,C,7,7,0,2.5,,,108.43,6.23,1.63,10.46,99.93,,8.195,,95.018,2.12,0.16,0.072,13.3,0,0,0
296,290,18,No OA,NOA,A,6.6,6.5,10,5.5,,,169.45,7.15,1.63,11.83,160.95,,8.89,,98.449,0.79,0.09,0.069,8.8,0,0,0
297,291,18,No OA,NOA,A,6.6,6.5,7.5,2,,,82,8.63,1.59,12.17,73.5,,9.16,,80.548,0.78,0.09,0.078,8.7,0,0,0
298,292,18,No OA,NOA,A,6.6,6.5,5,2.6,,,88.24,4.63,1.13,10.08,79.74,,7.62,,95.555,0.91,0.09,0.074,10.1,0,0,0
299,293,18,No OA,NOA,A,6.6,6.5,2.5,2.75,,,96.32,3.39,1.62,9.91,87.82,,7.93,,90.739,0.92,0.11,2.77,8.4,0,0,0
300,294,18,No OA,NOA,A,6.6,6.5,0,1.8,,,71.49,0,0.98,10.33,62.99,,7.38,,93.043,3,0.19,1.528,15.8,0,0,0
301,295,9,No OA,NOA,A,6.8,6.4,10,4.8,,,156.37,5.03,1.62,11.81,147.87,,9.05,,96.842,1.14,0.11,2.105,10.4,0,0,0
302,296,9,No OA,NOA,A,6.8,6.4,7.5,2.6,,,75.72,0,1.61,13.98,67.22,,10.61,,96.02,1.24,0.1,0.067,12.4,0,0,0
303,297,9,No OA,NOA,A,6.8,6.4,5,2.3,,,61.72,0,1.58,10.19,53.22,,7.96,,84.11,1.077,0.089,0.036,12.1,0,0,0
304,298,9,No OA,NOA,A,6.8,6.4,2.5,2.4,,,56.75,0,1.22,11.02,48.25,,8.67,,96.342,1.038,0.076,0.031,13.7,0,0,0
305,299,9,No OA,NOA,A,6.8,6.4,0,2.5,,,110.82,0,1.22,12.24,102.32,,9.82,,90.608,1.506,0.109,0.028,13.8,0,0,0
306,300,18,No OA,NOA,B,6.9,7.4,10,5,,,130.06,11.35,1.59,12.04,121.56,some wood,8.94,,87.189,1.402,0.107,0.029,13.1,0,0,0
307,301,18,No OA,NOA,B,6.9,7.4,7.5,2.55,,,75.57,0,1.62,12.65,67.07,,9.58,,94.567,1.22,0.11,0.08,11.1,0,0,0
308,302,18,No OA,NOA,B,6.9,7.4,5,2.5,,,59.44,0,1.23,10.04,50.94,,7.88,,94.587,1.23,0.11,0.092,11.2,0,0,0
309,303,18,No OA,NOA,B,6.9,7.4,2.5,2.4,,,66.09,4.26,1.45,11.4,57.59,,8.62,,86.876,1.41,0.12,0.074,11.8,0,0,0
310,304,18,No OA,NOA,B,6.9,7.4,0,2,,,98.51,5.33,1.62,9.42,90.01,,7.49,,82.915,1.7,0.112,0.03,15.2,0,0,0
