DNP,Plot,Rep,Depth,Trt
1,15,B,10,NOA
2,15,B,7.5,NOA
3,15,B,5,NOA
4,15,B,0,NOA
5,19,A,10,NI
6,19,A,7.5,NI
7,19,A,5,NI
8,19,A,2.5,NI
9,19,A,0,NI
10,16,A,10,DW
11,16,A,7.5,DW
12,16,A,5,DW
13,16,A,2.5,DW
14,16,A,0,DW
15,2,B,10,DL
16,2,B,7.5,DL
17,2,B,5,DL
18,2,B,2.5,DL
19,2,B,0,DL
20,15,A,10,NOA
21,15,A,7.5,NOA
22,15,A,5,NOA
23,15,A,0,NOA
24,2,C,10,DL
25,2,C,7.5,DL
26,2,C,5,DL
27,2,C,2.5,DL
28,2,C,0,DL
29,19,C,10,NI
30,19,C,7.5,NI
31,19,C,5,NI
32,19,C,2.5,NI
33,19,C,0,NI
34,15,C,10,NOA
35,15,C,7.5,NOA
36,15,C,5,NOA
37,15,C,2.5,NOA
38,15,C,0,NOA
39,3,B,10,NL
40,3,B,7.5,NL
41,3,B,5,NL
42,3,B,2.5,NL
43,3,B,0,NL
44,19,B,10,NI
45,19,B,7.5,NI
46,19,B,5,NI
47,19,B,2.5,NI
48,19,B,0,NI
49,2,A,10,DL
50,2,A,7.5,DL
51,2,A,5,DL
52,2,A,2.5,DL
53,2,A,0,DL
54,3,B,10,NL
55,3,B,7.5,NL
56,3,B,5,NL
57,3,B,2.5,NL
58,3,B,0,NL
59,1,B,10,NR
60,1,B,7.5,NR
61,1,B,5,NR
62,1,B,2.5,NR
63,1,B,0,NR
64,1,A,10,NR
65,1,A,7.5,NR
66,1,A,5,NR
67,1,A,0,NR
68,3,C,10,NL
69,3,C,7.5,NL
70,3,C,5,NL
71,3,C,2.5,NL
72,3,C,0,NL
73,17,C,10,DL
74,17,C,7.5,DL
75,17,C,5,DL
76,17,C,2.5,DL
77,17,C,0,DL
78,1,C,10,NR
79,1,C,7.5,NR
80,1,C,5,NR
81,1,C,2.5,NR
82,1,C,0,NR
83,17,A,10,DL
84,17,A,7.5,DL
85,17,A,5,DL
86,17,A,2.5,DL
87,17,A,0,DL
88,17,B,10,DL
89,17,B,7.5,DL
90,17,B,5,DL
91,17,B,2.5,DL
92,17,B,0,DL
93,4,C,10,NR
94,4,C,7.5,NR
95,4,C,5,NR
96,4,C,2.5,NR
97,4,C,0,NR
98,5,A,10,DW
99,5,A,7.5,DW
100,5,A,5,DW
101,5,A,2.5,DW
102,5,A,0,DW
103,5,B,10,DW
104,5,B,7.5,DW
105,5,B,5,DW
106,5,B,2.5,DW
107,5,B,0,DW
108,5,C,10,DW
109,5,C,7.5,DW
110,5,C,5,DW
111,5,C,2.5,DW
112,5,C,0,DW
113,14,A,10,CTL
114,14,A,7.5,CTL
115,14,A,5,CTL
116,14,A,2.5,CTL
117,14,A,0,CTL
118,14,C,10,CTL
119,14,C,7.5,CTL
120,14,C,5,CTL
121,14,C,2.5,CTL
122,14,C,0,CTL
124,4,A,10,NR
125,4,A,7.5,NR
126,4,A,5,NR
127,4,A,2.5,NR
128,4,A,0,NR
129,69,C,10,NI
130,69,C,7.5,NI
131,69,C,5,NI
132,69,C,2.5,NI
133,69,C,0,NI
134,4,B,10,NR
135,4,B,7.5,NR
136,4,B,5,NR
137,4,B,2.5,NR
138,4,B,0,NR
139,14,B,10,CTL
140,14,B,7.5,CTL
141,14,B,5,CTL
142,14,B,2.5,CTL
143,14,B,0,CTL
144,6,A,10,NR
145,6,A,7.5,NR
146,6,A,5,NR
147,6,A,0,NR
148,69,A,7.5,NI
149,69,A,5,NI
150,69,A,2.5,NI
151,69,A,0,NI
152,49,B,10,NI
153,49,B,7.5,NI
154,49,B,5,NI
155,49,B,2.5,NI
156,49,B,0,NI
157,49,A,10,NI
158,49,A,7.5,NI
159,49,A,5,NI
160,49,A,2.5,NI
161,49,A,0,NI
162,49,C,10,NI
163,49,C,7.5,NI
164,49,C,5,NI
165,49,C,2.5,NI
166,49,C,0,NI
167,69,B,10,NI
168,69,B,7.5,NI
169,69,B,5,NI
170,69,B,2.5,NI
171,69,B,0,NI
172,6,C,10,NR
173,6,C,7.5,NR
174,6,C,5,NR
175,6,C,2.5,NR
176,6,C,0,NR
177,7,B,10,NL
178,7,B,7.5,NL
179,7,B,5,NL
180,7,B,2.5,NL
181,7,B,0,NL
182,7,A,10,NL
183,7,A,7.5,NL
184,7,A,5,NL
185,7,A,2.5,NL
186,7,A,0,NL
187,6,B,10,NR
188,6,B,7.5,NR
189,6,B,5,NR
190,6,B,2.5,NR
191,6,B,0,NR
192,7,C,10,NL
193,7,C,7.5,NL
194,7,C,5,NL
195,7,C,2.5,NL
196,7,C,0,NL
197,13,C,10,DL
198,13,C,7.5,DL
199,13,C,5,DL
200,13,C,0,DL
201,8,C,10,CTL
202,8,C,7.5,CTL
203,8,C,5,CTL
204,8,C,2.5,CTL
205,8,C,0,CTL
206,13,B,10,DL
207,13,B,7.5,DL
208,13,B,5,DL
209,13,B,2.5,DL
210,13,B,0,DL
211,8,B,10,CTL
212,8,B,7.5,CTL
213,8,B,5,CTL
214,8,B,2.5,CTL
215,8,B,0,CTL
216,13,A,10,DL
217,13,A,7.5,DL
218,13,A,5,DL
219,13,A,2.5,DL
220,13,A,0,DL
221,8,A,10,CTL
222,8,A,7.5,CTL
223,8,A,5,CTL
224,8,A,2.5,CTL
225,8,A,0,CTL
226,10,A,10,DW
227,10,A,7.5,DW
228,10,A,5,DW
229,10,A,0,DW
230,12,B,10,CTL
231,12,B,7.5,CTL
232,12,B,5,CTL
233,12,B,0,CTL
234,11,A,10,NL
235,11,A,7.5,NL
236,11,A,5,NL
237,11,A,2.5,NL
238,11,A,0,NL
239,11,C,10,NL
240,11,C,7.5,NL
241,11,C,5,NL
242,11,C,2.5,NL
243,11,C,0,NL
244,11,B,10,NL
245,11,B,7.5,NL
246,11,B,5,NL
247,11,B,2.5,NL
248,11,B,0,NL
249,10,C,10,DW
250,10,C,7.5,DW
251,10,C,5,DW
252,10,C,2.5,DW
253,10,C,0,DW
254,16,C,10,DW
255,16,C,7.5,DW
256,16,C,5,DW
257,16,C,0,DW
258,12,C,10,CTL
259,12,C,7.5,CTL
260,12,C,5,CTL
261,12,C,2.5,CTL
262,12,C,0,CTL
263,12,A,10,CTL
264,12,A,7.5,CTL
265,12,A,5,CTL
266,12,A,0,CTL
267,10,B,10,DW
268,10,B,7.5,DW
269,10,B,5,DW
270,10,B,0,DW
271,16,B,10,DW
272,16,B,7.5,DW
273,16,B,5,DW
274,16,B,0,DW
275,9,B,10,NOA
276,9,B,7.5,NOA
277,9,B,5,NOA
278,9,B,2.5,NOA
279,9,B,0,NOA
280,9,C,10,NOA
281,9,C,7.5,NOA
282,9,C,5,NOA
283,9,C,2.5,NOA
284,9,C,0,NOA
285,18,C,10,NOA
286,18,C,7.5,NOA
287,18,C,5,NOA
288,18,C,2.5,NOA
289,18,C,0,NOA
290,18,A,10,NOA
291,18,A,7.5,NOA
292,18,A,5,NOA
293,18,A,2.5,NOA
294,18,A,0,NOA
295,9,A,10,NOA
296,9,A,7.5,NOA
297,9,A,5,NOA
298,9,A,2.5,NOA
299,9,A,0,NOA
300,18,B,10,NOA
301,18,B,7.5,NOA
302,18,B,5,NOA
303,18,B,2.5,NOA
304,18,B,0,NOA
